"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10491","Выбираем тариф Рабочий, включаем чекбокс Столик для ноутбука, нажимаем кнопку Ввести номер и заказать - Появляется окно ожидания машины (проверить элементы по ТЗ)","tests","2026-06-02","skipped","2026-06-02","TestTaxiFullFlow","test_taxi_tariff_order","",""
"","92","При выборе вида маршрута Быстрый активна кнопка Вызвать такси","tests","2026-06-02","passed","2026-06-02","TestTaxiOrderPreparation","test_taxi_order_preparation","",""
"","280","При переключении Оптимальный->Быстрый меняется активный таб и пересчитывается стоимость/время","tests","2026-06-02","passed","2026-06-02","TestTaxiOrderPreparation","test_taxi_order_preparation","",""
"","18","При вводе двух разных адресов отображается блок с выбором маршрута","tests","2026-06-02","passed","2026-06-02","TestRouteBlockRendering","test_route_block_rendering","",""
"","114","При выборе вида маршрута Свой становятся активны все типы передвижения","tests","2026-06-02","passed","2026-06-02","TestTaxiOrderPreparation","test_taxi_order_preparation","",""
"","38","При вводе одинаковых адресов блок маршрута содержит текст 'Авто Бесплатно В пути 0 мин.'","tests","2026-06-02","passed","2026-06-02","TestRouteBlockRendering","test_route_block_rendering","",""
"","147","При выборе маршрута Свой и типа Драйв активна кнопка Забронировать","tests","2026-06-02","passed","2026-06-02","TestTaxiOrderPreparation","test_taxi_order_preparation","",""
"","372","При наведении на иконку i тарифа Сонный отображается верное описание","tests","2026-06-02","skipped","2026-06-02","TestTaxiTariffOrder","test_taxi_tariff_order","",""
"","33","Под тарифами отображается блок с полями Телефон, Способ оплаты, Комментарий, Требования","tests","2026-06-02","passed","2026-06-02","TestTaxiTariffOrder","test_taxi_tariff_order","",""
"","1071","При вводе двух разных адресов на карте отображаются две точки маршрута","tests","2026-06-02","passed","2026-06-02","TestRouteRendering","test_route_rendering","",""
"","328","При наведении на иконку i тарифа Рабочий отображается верное описание","tests","2026-06-02","passed","2026-06-02","TestTaxiTariffOrder","test_taxi_tariff_order","",""
"","385","При наведении на иконку i тарифа Отпускной отображается верное описание","tests","2026-06-02","passed","2026-06-02","TestTaxiTariffOrder","test_taxi_tariff_order","",""
"","106","Открывается форма заказа со всеми 6 тарифами, один из них активный","tests","2026-06-02","passed","2026-06-02","TestTaxiTariffOrder","test_taxi_tariff_order","",""
